题干,内容
肝硬化食管胃底静脉曲张使用非选择性β受体阻滞剂的应答标准是,A.静息心率下降到基础心率的75% 或50~60 次/min B.静息心率下降到基础心率的50% 或50~60 次/min C.静息心率下降到基础心率的75% 或60-70 次/min D.静息心率下降到基础心率的50% 或60-70 次/min E.静息心率下降到基础心率的60% 或50~60 次/min 正确答案:A
在标准心电图纸速(25mm/s)的情况下，测相邻两个R-R之间的大格数为8大格。其心率为,A.30次/分 B.33.3次/分 C.37.5次/分 D.42.8次/分 E.50次/分 正确答案:C
患者，男性，48岁。“突感胸痛伴出汗半小时。”送至急诊。査体:神情紧张不安，皮肤湿冷，血压80/55mmHg，心率112次/分，两下肺可闻及湿罗音。该患者的急救处理不正确的是,A.病人的体位采用半卧位 B.保持呼吸道通畅，吸氧 C.建立静脉通道 D.适量补液，补充有效循环血容量 E.西地兰静脉推注 正确答案:E
病原体侵入人体后先起作用的非特异性免疫因素是,A.白细胞介素 B.吞噬细胞 C.致敏T淋巴细胞 D.干扰素 E.肿瘤坏死因子 正确答案:B
诊断胸腺瘤的最有效方法,A.临床症状 B.胸部超声 C.胸部CT D.胸片 E.体格检查 正确答案:C
HE染色切片中，发现肝细胞体积变大，胞浆淡染呈空泡状。为确定空泡的性质，最常用,A.苏丹Ⅲ染色 B.普鲁士蓝染色 C.嗜银染色 D.免疫组化 E.电镜检查 正确答案:A
肾脏不能分泌的激素是,A.促红细胞生成素 B.肾素 C.前列腺素 D.1a-羟化酶 E.醛固酮 正确答案:E
单侧多根多处肋骨骨折最严重的病理生理改变是,A.出血，休克 B.皮下气肿，纵膈气肿 C.咳嗽，咯血 D.胸壁软化，反常呼吸 E.剧烈疼痛，呼吸浅快 正确答案:D
COPD患者出现二氧化碳储留最常见的机制是,A.肺泡通气量下降 B.弥散功能障碍 C.右向左分流 D.耗氧量增加 E.通气/血流比例失衡 正确答案:A
下列哪块肌肉的血液供应模式为I型，并可以以两个不同的弧度旋转,"A.拇长屈肌 B.臀大肌, C.内侧腓肠肌 D.胸大肌 E.比目鱼肌 正确答案:B"
急性肺栓塞抗凝治疗的常用药物有,A.普通肝素 B.抗血小板药物 C.尿激酶 D.链激酶 E.rt-PA 正确答案:A
以下不属于CT三维后处理技术的是,A.最大密度投影 B.容积再现技术 C.表面遮盖显示 D.断面重组 E.最小密度投影 正确答案:D
16岁女孩，右下肢经常打软腿，有时跪倒，已12年。近1个月来右下肢无力加重。检查:右股四头肌稍有收缩，左侧卧位，不能引起伸膝活动。此股四头肌的肌力应为,A.0级 B.1级 C.2级 D.3级 E.4级 正确答案:B
中年男性昏迷，病史不详。查体:呼吸深大，血压170/110mmHg，颈软，无黄疸，心肺腹部无异常。化验:HGB60g/L，尿蛋白(++)，比重1.010，沉渣见蜡样管型0~1个/HP，红细胞0~3个MP，血氨正常BUN40mmol/L，CO2-cP15mmolL，血糖4.4mmo。此患者最可能的诊断是,A.高渗性昏迷 B.肝性脑病 C.低血糖昏迷 D.尿毒症昏迷 E.糖尿病酮症酸中毒 正确答案:D
以下关于肌张力过高的描述哪项是错误的,A.肌张力过高时的阻力包括动态成分和静态成分 B.肌张力过高的动态成分为肌肉被动拉伸时神经性(反射性的)因素所致的阻力 C.肌张力过高的静态成分为非神经性(肌肉和结缔组织内在的机械弹性改变，如挛缩)因素所致的阻力 D.中枢神经系统损伤后的肌张力过高是神经性因素和非神经因素共同作用的结果 E.痉挛与肌张力过高等同 正确答案:E
关于品行障碍的家庭治疗，以下哪项是错误的,A.对子女不良行为应采用严厉惩罚的方式 B.父母应采用讨论和协商的方法与子女进行交流 C.应采用正面行为强化辅以轻度惩罚的方法 D.减少家庭内的生活事件及父母自己的不良行为 E.必须取得父母的积极参与和合作 正确答案:A
以下是抑郁发作的典型症状，但除外,A.抑郁心境 B.思维迟缓 C.思维内容障碍 D.音联意联 E.意志活动减退 正确答案:D
题 男性，40岁。近3个月刺激性咳嗽，痰中偶有血丝，间断发热。20年前曾患肺结核。胸片:右肺上叶前段有2cm X 2.5cm的团块状阴影，边缘不整呈分叶状，痰查脱落细胞阴性，诊断首先考虑,A.肺结核 B.肺脓肿 C.肺囊肿 D.肺癌 E.肺良性肿瘤 正确答案:D
下列哪项不是循环灌注恶化的表现,A.体温40°C B.毛细血管充盈时间延长 C.皮肤花斑 D.代谢性酸中毒 E.少尿 正确答案:A
休克时主要代谢障碍是,A.酸中毒、高血钾 B.碱中毒、低血钾 C.低镁血症、低渗性脱水 D.低血钙、低血糖 E.成人呼吸窘迫综合征 正确答案:A
能引起急性胰腺炎的药物,A.肾上腺素 B.肾上腺糖皮质激素 C.去甲肾上腺素 D.葡萄糖酸钙 E.维生素D钙片 正确答案:B
女性生殖系统最常见的恶性肿瘤是,A.卵巢黏液性囊腺癌 B.卵巢浆液性囊腺瘤 C.宫颈癌 D.子宫内膜癌 E.卵巢转移瘤 正确答案:C
以下哪项不是感染性心内膜炎尽早手术的指征,A.赘生物1cm B.合理使用抗生素2周后仍有发热 C.颅内出血 D.心衰进行性加重 E.以上都不是 正确答案:C
关于风湿病的描述，下列错误的是,A.与A组乙型溶血性链球菌感染有关 B.抗原-抗体交叉反应是其发生的主要机制 C.累及全身结缔组织的一种非化脓性炎症 D.好发于心脏、关节及皮肤等 E.基本病变分为渗出期、坏死期、增生期及愈合期 正确答案:E
男性患者，28岁，全身水肿。尿蛋白6.0g/24h，尿中红细胞10~15个/Hp，可见脂肪管型，血浆蛋白20g儿。治疗每日泼尼松60mg，双嘧达莫(潘生丁)150mg(分三次服)，已治疗4周病情未见好转。此时应采取下列哪项措施为妥,A.增加泼尼松用量，延长治疗时间 B.停用泼尼松 C.加用ACTH D.继续用泼尼松原剂量，加用环磷酰胺 E.改用地塞米松 正确答案:D
呼吸衰竭患者使用无创机械通气时，以下说法正确的是!,A.昏迷病人可以安全应用 B.最常用的通气模式是容量控制通气 C.血流动力不稳定的病人可以首选无创机械通气 D.为改善人机配合，可以使用肌肉松弛剂 E.需密切观察，症状不改善应及时更改为有创通气 正确答案:E
流行性乙型脑炎的病变类型属于,A.渗出性炎 B.变质性炎 C.增生性炎 D.出血性炎 E.肉芽肿性炎 正确答案:B
女性，45岁，系统性红斑狼疮病史20年。门诊复査，无异常症状和体征。血沉正常，抗核抗体1:160(+)U1RNP抗体(+)。对该患者的病情判断是,A.病情未控制 B.病情活动 C.轻度活动 D.病情稳定 E.病情重度活动 正确答案:D
在以下何种情况下，即使血气分析显示Pa02<60mmHg，也不能诊断呼吸衰竭,A.海拔0米 B.呼吸室内空气 C.Hb 80g/L D.运动心肺功能检查中 E.动脉血pH 6.9 正确答案:D
 男性，40岁，因汽油着火烧伤总面积80%，I度烧伤50%。应采取治疗是,A.切削痂、网状自体植皮 B.暴露疗法，待其自然愈合 C.蛋白酶溶痂后植皮 D.1%SDAg冷霜包扎换药，待其自然愈合 E.分期分批切削痂后植皮 正确答案:E
以下关于骨质坏死的描述，错位的是,A.骨质坏死是指骨组织局部代谢停止，坏死的骨质称为死骨 B.X线及CT表现为骨质局限性密度增高 C.死骨骨小梁表面有新骨形成，骨小梁增粗，导致死骨骨质密度绝对增高 D.死骨周围骨质被吸收，或在肉芽、脓液包绕衬托下，死骨相对呈高密度改变 E.死骨钙质沉着增加是死骨密度增高的主要原因 正确答案:E
由肌皮动脉穿出肌肉的穿支供血的皮瓣称为,A.肌皮瓣 B.动脉皮瓣 C.随意皮瓣 D.轴型皮瓣 E.局部皮瓣 正确答案:C
下列哪种药物与低血糖无关,A.水杨酸盐 B.奎宁 C.B受体阻滞剂 D.氟哌啶醇 E.ACEI类药物 正确答案:E
不是类风湿关节炎的临床特点,A.病程呈间歇反复发作 B.逐渐影响关节功能 C.关节受累呈多发性 D.病变常累及大关节 E.关节受累呈对称性 正确答案:D
不属于猝死时的心电图表现有!,A.QRS-T波完全消失，代之以大小时限不等的低小波。 B.心电图呈直线 C.无正常ORS-T波，代之以连续快速相对规则的 大振幅波动 D.缓慢畸形的ORS波群 E.P波消失，代之以大小不同、形态各异、间隔不齐的波，R-R间期不等 正确答案:E
鼻中隔利特尔区血管供应中不包括,A.眶下动脉分支 B.上唇动脉分支 C.腭大动脉分支 D.筛前动脉分支 E.筛后动脉分支 正确答案:A
患儿，男，孕38+5周自然分娩出生，母孕期体健，羊水I度，胎盘、脐带未见异常，胎儿娩出后，心率90次/分，呼吸浅，不规则，活动少，四肢紫绀，躯干红润，刺激后哭闹，本患儿Apgar评分为:,A.4 B.5 C.6 D.7 E.8 正确答案:C
下列哪种疾病不是弥漫性结缔组织病,A.系统性红斑狼疮 B.类风湿关节炎 C.系统性硬化症 D.强直性脊柱炎 E.ANCA相关性血管炎 正确答案:D
下列关于蛔虫性肠梗阻发生机制的叙述中，哪项是正确的?,A.蛔虫成虫代谢产物以肠道严重炎症的应所致 B.蛔虫幼虫死亡后产生炎症反应所致 C.蛔虫幼虫损伤肠壁毛细血管导致出血及大量细胞浸润所致 D.肠壁黏膜大量嗜酸性粒细胞浸润、分泌物堆集所致 E.蛔虫成虫在小肠内缠结成团所致 正确答案:E
以下哪项有助于鉴别子宫肌瘤与子宫体癌,A.子宫外形和大小 B.肿块大小和密度 C.肿瘤轮廓和边缘 D.增强扫描的强化特征 E.
患者，26岁。分娩后出现产后出血，现产后2年，无月经，伴毛发脱落，最可能为,A.Swyer综合征 B.Asherman综合征 C.Sheehan综合征 D.Turner综合征 E.Stein-Leventhal综合征 正确答案:C
题 患者女性，69岁，退休教师，家人发现其反常昏睡不起2+小时呼救120。既往有高血压史，1个月前有发作性右侧肢体麻木、无力病史。医务人员在家中检査发现:血压100/60mmHg，P68次/分，R16次/分，能被叫醒;回答问题时口齿不清，答完后马上又进入深睡眠状态，难以唤醒;双侧瞳孔等大等圆，对光反射灵敏;右侧鼻唇沟变浅，伸舌右偏，右侧肢体肌力减退，右下肢肌力约4级，右上肢肌力3~4级，右上肢肌张力稍高;右侧霍夫曼征(+)，右侧巴宾斯基征(±);心、肺、腹检查无异常发现。下列院前处置不妥的是,A.避开患者向家属说明初步诊断并交待病情的严重性，需要立即转入专科医院做颅脑CT尽快明确诊断并入院治长 B.安慰患者，使之情绪稳定，争取尽可能配合。C.平稳搬至救护车上，平卧、吸氧、监护病情转入医院。 D.立即开放静脉通路，并行溶栓治疗。 E.与转入医院联系尽快做颅脑CT 正确答案:D
月经周期为28天型有排卵的妇女，于月经周期第16天刮宫，镜检子宫内膜应为,A.增生期中期 B.增生期晚期 C.分泌期早期 D.分泌期中期 E.分泌期晚期 正确答案:C
以下关于稳定极限(LOS)的描述哪项是错误的,稳定极限是指正常人站立时身体可倾斜的最大角度，或在能够保持平衡的范围内倾斜时与垂直线形成的最大角度 B.正常人双足自然分开站在平整而坚实的地面上时，LOS前后方向的最大倾斜或摆动角度约为12.5° C.LOS的大小取决于支持面的形状和性质 D.正常人可以通过跨一步及自动姿势反应重新建立平衡 E.正常人双足自然分开站在平整而坚实的地面上时，LOS左右方向的最大倾斜或摆动角度约为16° 正确答案:C
 下列哪种疾病不是弥漫性结缔组织病,A.系统性红斑狼疮 B.类风湿关节炎 C.系统性硬化症 D.强直性脊柱炎 E.ANCA相关性血管炎 正确答案:D
关于肾癌的流行病学，下列哪项是错误,A.肾癌占成人恶性肿瘤的3% B.吸烟和肥胖与肾病的发病有关 C.高发年龄为50岁以后 D.男女比为2:1 E.早期即易转移，预后差 正确答案:E
对肌肉痉挛的治疗首先采用的方法是,A.解除诱因 B.物理治疗 C.口服药物 D.神经阻滞 E.鞘内注射 正确答案:A
6岁，女孩，外伤致肱骨髁上伸直型骨折，经手法复位，石膏外固定，5小时后出现手麻，主动活动障碍，手发凉，此时的治疗，应采取,A.立即拆除石膏，改用骨牵引治疗 B.观察2天，视情况采用相应措施 C.手术探查，手术治疗 D.应用血管扩张剂 E.臂丛麻醉 正确答案:A
从一种成熟组织或细胞转变为另一种同类型组织或细胞的过程称为,A.间变 B.发育不良 C.增生 D.化生 E.癌形成 正确答案:D
以下哪项不符合痉挛的定义,A.是上运动神经元损害后出现的肌肉张力异常增高的综合征 B.是一种由牵张反射兴奋性增高所致的运动功能障碍 C.是以速度依赖的牵张反射亢进为特征的运动功能障碍 D.伴随肌肉牵伸速度的增加，肌肉痉挛的程度也增高 E.是指肌肉受到牵拉后肌肉出现反射性收缩 正确答案:E
股静脉内见实性结构回声，管腔压之不瘪，实性结构内看不到血流信号，可能的诊断是,A.静脉炎性狭窄 B.静脉血栓 C.静脉的变异 D.静脉外压性狭窄 E.静脉瘤样扩张 正确答案:B
新生儿化脓性脑膜炎的病原菌是,A.脑膜炎双球菌 B.肺炎双球菌 C.流感杆菌 D.大肠杆菌 E.铜绿假单胞杆菌 正确答案:D
Colles骨折远端的典型移位是,A.向尺侧及背侧移位 B.向桡侧及背侧移位 C.向尺侧及掌侧移位 D.向桡侧及掌侧移位 E.只向背侧移位 正确答案:B 解析：ColleS骨折即桡骨下端骨折伸直型。桡骨下端骨折是指距桡骨下端关节面3 cm以内的骨折。Coles骨折受伤机制是腕背伸前臂旋前手掌着地引起，骨折典型的移位是骨折远端向背侧桡侧移位，正位看出现“枪刺样”畸形，侧位看呈“餐叉”样畸形。
"患者，男性，75岁，体重70kg，入室后生命体征正常，行全身麻醉声带肿物切除术，静脉给予丙泊酚50mg,顺本磺酸阿曲库铵15mg，舒芬太尼10ug，快速注入瑞芬太尼100ug后，患者心率逐渐下降，气管插管后，降至45次/分血压50/30mmHg，给予阿托品和麻黄碱血压心率逐渐平稳。患者出现心动过缓的原因为",A.瑞芬太尼和舒芬太尼的协同作用 B.注射舒芬太尼量过小 C.丙泊酚 D.舒芬太尼量过大 E.肌松药量过大 正确答案:A
超声诊断肢体动静脉瘘最有力的依据,A.近心端动脉内径增宽 B.动脉呈现低阻力型血流频谱 C.静脉明显扩张 D.静脉内出现动脉样血流频谱 E.合并出现假性动脉瘤 正确答案:D
 20岁女性，晚餐后在用煤气取暖器的浴室内洗澡1小时，出现头晕、呕吐、胸闷不适。最可能的诊断是,A.急性胃肠炎 B.一氧化碳中毒 C.心绞痛 D.低血糖反应 E.高血压脑病 正确答案:B
尿路感染最主要的易感因素是,A.糖尿病 B.使用导尿管 C.尿路梗阻 D.膀胱输尿管反流 E.妊娠 正确答案:C
爆炸的冲击波直接作用于身体后，受害者发病和死亡的首要原因为,A.全身多发伤 B.多根多处肋骨骨折 C.肺爆震伤 D.颅脑损伤 E.失血性休克 正确答案:C
呼吸衰竭依靠动脉血气诊断指标是,"A.Pa02<50mmHg,PaCO2>60mmHg B.Pa02<70mmHg,PaCO2>70mmHg C.Pa02<60mmHg,PaC02>50mmHg D.Pa02<80mmHg,PaC02>50mmHg E.Pa02<65mmHg,PaCO2>80mmHg 正确答案:C"
一位患有骨质疏松的65岁女性患者因腰部疼痛至医院就诊，MRI显示有L1椎体压缩性骨折。关于椎体成型术以下哪项描述是错误的?,A.椎体成型术是一种微创手术方法 B.椎体成型术可以立即缓解疼痛 C.椎体成型术适用于所有类型的椎体骨折 D.椎体成型术涉及向椎体内注入骨水泥 E.椎体成型术可以恢复椎体高度 正确答案:C
女性，25岁，服敌敌畏昏迷2小时而急送医院。査体:大汗，双瞳孔针尖样大小，双肺布满湿啰音，心率62次分。最佳的治疗是,A.洗胃+静脉注射解磷定+静脉注射阿托品 B.洗胃+静脉注解磷定 C.洗胃+静脉注射阿托品 D.洗胃+给氧 E.洗胃+对症治疗 正确答案:A
男，70岁。高血压15年，现服用硝苯地平控释片60mg Qd，缬沙坦80mg Bid，血压控制不满意。既往支气管哮喘35年，糖尿病20年。查体:150~16080~90mmHg，双肺散在哮鸣音，HR60bpm，律齐，未闻及杂音。实验室检查:血肌酐180mmo1。调整该患者的降压药物时，首选的方案是,A.加用血管紧张素转换酶抑制剂 B.加用B受体拮抗剂 C.加用利尿剂 D.加用维拉帕米 E.硝苯地平加量 正确答案:C
腹股沟管的内环是!,A.腹横筋膜的卵圆形裂隙 B.腹膜的卵圆形裂隙 C.腹外斜肌腱膜的三角形裂隙 D.联合肌腱下方的薄弱部分 E.腹内斜肌腱膜的三角形裂隙 正确答案:A
慢性II型呼吸衰竭家庭氧疗的给氧方法是,A.间断高浓度吸氧 B.持续高浓度氧吸氧 C.间断低浓度吸氧 D.持续低浓度吸氧 E.如无明显呼吸困难可不吸氧 正确答案:D
附睾炎在不同阶段的声像图表现是,A.附睾增大 B.附睾显示中等回声 C.化脓时附睾出现无回声区 D.如有钙化，后方出现声影 E.以上都是 正确答案:E
使用胰岛素的糖尿病患者，可评价β细胞分泌功能的指标是,A.血胰岛素水平 B.血C肽水平 C.尿酮体 D.血谷氨酸脱羧酶抗体滴度 E.血β羟丁酸水平 正确答案:B 
女，70岁。急性心肌梗死发病后第2天突然意识丧失、呼吸停止、大动脉搏动消失经胸部按压、、气管插管机械通气后近20分钟恢复心跳、呼吸，但对外界刺激无任何反应。其后续治疗措施正确的是,A.取头低脚高位保证大脑灌注 B.100%纯氧吸入一周以保证充分氧合 C.控制血压在90/60mmHg以下以降低心脏负荷 D.立即拔除气管插管以降低呼吸道感染风险 E.使用冰毯使体温逐渐降低至34℃C左右 正确答案:E
甲状腺素中起主要作用的成分是:,A.T1 B.T2 C.T3 D.T4 E.碘 正确答案:C
在胆道蛔虫病的治疗措施方面，下列哪一项是不宜首先采用的?,A.解痉治疗 B.止痛治疗 C.驱虫治疗 D.手术治疗 E.抗炎治疗 正确答案:D
女，50岁。阵发性胸部隐痛半年，发作无明显诱因，持续时间数秒~30分钟，部位不固定，活动如常，1周前健康体检时心电图示胸前导联T波低平，建议心内科就诊。首选的辅助检查项目是,A.cTnL B.常规心电图 C.心电图运动负荷试验 D.超声心动图 E.冠状动脉造影乡 正确答案:C
鞍区最常见的肿瘤是,A.垂体瘤 B.脊索瘤 C.血管母细胞瘤 D.胶质细胞瘤 E.海绵状血管瘤 正确答案:A 
急性胰腺炎患者解痉镇痛药物不宜应用,A.吗啡 B.阿托品或山莨菪碱 C.异丙嗪 D.度冷丁 E.普鲁卡因 正确答案:A
感染的含义是,A.人体被病原体侵入 B.病原体侵入人体的过程 C.病原体对人体的寄生过程 D.病原体通过传播媒介进入人体 E.人体抵抗力下降而被病原体入侵 正确答案:C
在掀起额冠状皮瓣的题部时，在分离下列哪一层次时面神经的额支最易受到损伤,A.在眶缘的上方 B.在颞浅筋膜的深方 C.在颧弓的深方 D.在皮下组织中 E.在颞浅脂肪垫内 正确答案:B
关于Sm抗体的正确叙述是,A.诊断SLE敏感性高 B.是诊断SLE的标记抗体 C.其阳性率为60% D.其阳性代表病情活动 E.其阳性提示有狼疮性肾炎存在 正确答案:B
治疗帕金森病最基本最有效的药物是,A.苄丝肼 B.金刚烷胺 C.溴隐亭 D.左旋多巴 E.吡贝地尔 正确答案:D
休克时治疗酸中毒的根本措施是,A.利尿 B.吸氧 C.静脉应用碳酸氢钠 D.改善微循环的灌注 E.血透治疗 正确答案；D
"患儿，女，60h，皮肤黄染2天，患儿第一胎，第一产，足月自然分娩，出生体重3.6kg,母亲0型，子B型，母乳喂养，患儿出生后第2天出现皮肤黄染，经皮测胆 8mg/d1,生后第三天黄染加重，躯干四肢手足心皮肤黄染，经皮测胆:18mg/dl,患儿精神吃奶好，哭声响亮。以下哪项治疗是正确的:",A.蓝光照射 B.换血治疗 C.口服苯巴比妥 D.停母乳 E.部分换血治疗 正确答案:A
下列关于肌张力评定的叙述哪一项是错误的,A.要求患者尽量放松，由评定者支持和移动肢体 B.评定者应保持固定形式和持续地徒手接触，并以恒定的速度移动患者肢体 C.快速的牵张刺激可用于评定阵挛 D.即使是在单侧功能障碍(如偏瘫)时，也不可将非受累侧作为正常对照 E.肌张力弛缓时，评定者可感到肢体沉重感，且无反应 正确答案:D
继发性痛经和不孕同时存在的疾病为,A.子宫肌瘤 B.子宫腺肌病 C.宫颈息肉 D.生殖器结核 E.卵巢黏液性囊腺瘤 正确答案:B
支气管肺泡灌洗液过碘酸雪夫染色阳性，支持以下哪种疾病的诊断?,A.特发性肺含铁血黄素沉着症 B.肺泡蛋白沉积症 C.特发性肺纤维化 D.结节病 E.韦格纳肉芽肿 正确答案:B
下列哪项神经根受累时会出现上臂外侧感觉减退，三角肌、肱二头肌肌力减弱，肱二头肌反射减弱,A.C3 B.C4 C.C5 D.C6 E.C7 正确答案：C
下列哪项描述不正确,A.皮肤黏膜干燥或者湿润能够为患者的容量状态提供粗略的提示 B.心脏杂音，特别是新出现的杂音意义重大 C.颈静脉充盈程度反映左心系统压力 D.外周动脉搏动弱提示灌注不足 E.哮鸣音则提示气流受阻 正确答案:C
关于流行性感冒的预防，最有效的方式是,A.预防使用利巴韦林 B.肌肉注射胸腺肽 C.口服强的松 D.每年接种流感疫苗 E.口服大剂量维生素C 正确答案:D
缩窄性心包炎最常见的病因是?,A.外伤性血心包 B.化脓性感染 C.风湿性心包炎 D.结核性心包炎 正确答案:D
以下哪种表现属于共济失调,A.手足徐动 B.舞蹈样徐动症 C.眼球震颤 D.手足不协调 E.下肢痉挛 正确答案:D
一氧化碳中毒死亡的尸斑呈,A.黑色 B.紫色 C.桃红色 D.灰褐色 E.黄色 正确答案:C
术后镇痛并发症发生率最高的方法是,A.肌肉注射 B.皮下给药 C.硬膜外给药 D.静脉内给药 E.蛛网膜下腔给药 正确答案:E
女性，60岁，身高150cm，体重80kg，3次分娩。近2年来，每于季节变化时出现咳嗽，咳嗽时伴尿液不自主流出，此种现象考虑,A.遗尿 B.充盈性尿失禁 C.压力性尿失禁 D.真性尿失禁 E.急迫性尿失禁 正确答案:C
重度肝细胞碎片状坏死和桥接坏死主要见于,A.急性重型肝炎 B.亚急性重型肝炎 C.轻度慢性肝炎 D.重度慢性肝炎 E.急性普通型肝炎 正确答案:D
 测定远端肾小管和集合管功能，最合适的检查方法是,A.尿浓缩-稀释试验 B.电解质浓度 C.蛋白质的排泄 D.葡萄糖浓度 E.尿碳酸氢根浓度 正确答案:A
"患者,男性，52岁。绞窄性肠梗阻，体温骤升至40℃℃，寒颤，血压90/52mmHg，脉搏102次/分，呼吸25次/分，皮肤湿冷。既往高血压病史，平时血压140-150/80-90 mmHg。应考虑",A.低血容量性休克 B.感染性休克 C.神经源性休克 D.过敏性休克 E.心源性休克 正确答案:B
下面哪项是继发性甲状旁腺功能亢进症的病因,A.各种原因导致的低钙血症，刺激甲状旁腺，使之增生肥大，分泌过多的PTH B.由于各种原因导致甲状旁腺受到持久的刺激，部分腺体增生后转变为腺瘤，自主性地分泌过多的PTH C.甲状旁腺肿瘤或增生引起的PTH合成与分泌过多 D.恶性肿瘤分泌PTH相关蛋白，与PTH受体结合，引起高钙血症等临床表现 E.以上都不是 正确答案:A
肱骨髁上骨折最常见的神经损伤是什么?,A.正中神经 B.桡神经 C.尺神经 D.臂丛神经 E.肌皮神经 正确答案:A
53岁男性，糖尿病史10年，近期应用胰岛素4次/日治疗，饮食一般。无高血压病史。两天前突发言语不清，无肢体活动障碍，急查血糖3.7mmo，脑CT未见明显异常。最可能的诊断是,A.脑梗塞  B.低血糖 C.面神经麻痹 D.脑出血 E.脑炎 正确答案:B
膀胱结石的典型表现是,A.脓尿 B.血尿伴要不绞痛 C.夜尿增多，排尿困难进行加重 D.排尿困难，尿流中断，改变体位又可排尿 E.常伴尿频、尿急及尿痛 正确答案：D
男，60岁。反复发作胸痛2天，加重6小时持续不缓解。ECG示V1~V5导联ST段抬高0.2~0.5mV，cTnI增高。最可能的发病机制是,A.斑块加速进展致血管狭窄加重 B.局部内皮损伤继发血栓形成 C.冠状动脉自发夹层形成血肿 D.冠状动脉血栓栓塞 E.冠状动脉持续痉挛 正确答案:B
急进性肾小球肾炎早期临床表现最突出的是,A.蛋白尿 B.血尿 C.少尿或无尿 D.高血压 E.浮肿 正确答案:C
某县医院妇科医师为一孕妇接生，该孕妇生一有缺陷婴儿，该医院为产妇出具了统一制发的新生儿出生医学证明。该医院还应当,A.出具产妇健康证明 B.出具新生儿健康证明 C.向计划生育部门报告 D.向卫生行政部门报告 E.向当地政府报告 正确答案：D
 腹股沟斜疝与直疝在解剖上的区别，下列哪项是正确的!,A.斜疝与腹横筋膜薄弱有关，直疝与腹内斜肌薄弱有关 B.斜疝自内环处发生，沿精索发展;直疝则由海氏三角处发生，不沿精索发展 C.斜疝由腹壁下动脉内侧发生，直疝则由外侧发生 D.斜疝疝囊在精索后方，直疝在前方 E.斜疝的内环在凹间韧带外侧，直疝在内侧 正确答案:B
应用仪器的静态平衡功能评定结果不包括,A.站立维持的时间 B.重心的位置 C.重心摆动路线 D.重心摆动的范围 E.稳定极限 正确答案:E
患者，22岁。自初潮后表现为月经开始前!天腹痛，时有恶心，子宫、附件正常最可能是:,A.岔腔炎 B.子宫内膜异位症 C.盆腔结核 D.宫颈炎 E.原发性痛经 正确答案:E
呼吸衰竭可作鼻或口鼻面罩机械通气的患者是,A.轻中度，神志尚清，能配合的患者 B.病情严重，神志清，不合作的患者 C.昏迷的患者 D.需长期机械通气支持的患者 E.呼吸道有大量分泌物的患者 正确答案：A
下列哪项不是Brodie骨脓肿的X线表现,A.常位于干骺端，呈圆形或卵圆形骨质破坏 B.病灶内少有死骨 C.没有或仅有轻微骨膜反应 D.常有明显骨膜反应 E.局部软组织无肿胀 正确答案：D
一般情况下下列哪种损伤不存在于肘关节恐怖三联征中?,A.桡骨小头骨折 B.尺骨冠状突骨折 C.鹰嘴骨折 D.肘关节后脱位 E.肘内外侧副韧带损伤 正确答案:C
下列关于鼻周期的说法哪项是错误的,A.指正常人两侧下鼻甲黏膜内的容量血管呈交替性收缩与扩张，表现为两侧鼻甲大小和鼻腔阻力呈相应的交替性改变 B.慢性肥厚性鼻炎的患者不存在鼻周期 C.可促使人们在睡眠时翻身 D.鼻黏膜获得适当的休息与恢复时机 E.更好地控制进入鼻咽的气流量 正确答案:B
在CT轴位增强扫描通过窦汇的层面上，天幕呈,"A.""Y""形  B.""V""形 C.“八”形 D.""M""形 E.""O""形  正确答案：D"
影乡响基底细胞癌复发率最重要因素的是,A.外科切除距肿瘤边缘的距离 B.肿瘤的组织学亚型 C.病人的年龄、性别和职业 D.肿瘤生长的时间 E.既往是否经过放射治疗 正确答案:A
电镜下诊断神经内分泌肿瘤的主要依据是,A.张力原纤维、细胞间桥粒 B.分泌泡、微管腔 C.神经内分泌颗粒 D.黑素小体 E.肌丝和肌节结构 正确答案:C
某女患者对雷雨天气感到恐惧，每逢雷雨则逃至楼下角落里躲藏。她与医生共后设计一个恐怖等级表，雷电交加、暴雨倾盆最感恐惧，大雨次之，阴天最轻。教会放松技术后，她先想象阴天，当已无紧张时再升级想象下雨，如有紧张感，则要她重复放松，直至想象通过全部恐怖等级。然后进行实景暴露，消除对雷雨的回避行为。这种治疗方法是,A.系统脱敏疗法 B.满灌疗法 C.厌恶疗法 D.阳性强化法 E.生物反馈疗法 正确答案:A
骨性关节炎的典型X光表现是什么?,A.关节间隙增宽 B.关节间隙缩窄 C.骨质软化 D.骨折线 E.骨肿大 正确答案:B
全身中、小动脉壁坏死性炎症，病灶动脉走行呈结节状分布。应考虑为,A.结节性多动脉炎 B.血栓性血管炎 C.动脉粥样硬化 D.血栓闭塞性脉管炎 E.细菌性动脉炎 正确答案:A
泡性结角膜炎的病因是,A.细菌 B.病毒 C.衣原体 D.速发过敏反应 E.迟发过敏反应 正确答案:E
原发性甲状旁腺功能亢进症的最常见病因是,A.增生 B.腺瘤 C.炎症 D.腺癌 E.家族性多发性内分泌腺瘤病 正确答案:B
常用于电镜研究的固定剂是,A.80%~90%乙醇 B.10%甲醛 C.1%~2%锇酸 D.0.3%~5%醋酸 E.甲醇 正确答案:C
